,ID,Sex,Age,Weight,Color,Breed,Intake Jurisdiction,Intake Date,link
69,A1567327,M,1 Year 1 Month,69.0 LBS,TAN WHITE,PIT BULL MIX,ANAHEIM,3/21/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1567327
70,A1283769,M,4 Year,76.0 LBS,BLUE WHITE,PIT BULL MIX,ANAHEIM,4/16/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1283769
71,A1232105,N,8 Years,71.4 LBS,FAWN WHITE,PIT BULL MIX,ORANGE CO FCC,1/22/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1232105
72,A1283634,N,7 Years,25.5 LBS,WHITE,POODLE MIN,ORANGE,4/20/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1283634
73,A1571194,M,3 Years,8.9 LBS,WHITE,POODLE MIN,YORBA LINDA,4/16/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571194
74,A1568093,M,1 Year 1 Month,5.3 LBS,WHITE TAN,POODLE MIN MALTESE,TUSTIN,3/26/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1568093
75,A1571804,M,5 Years,12.4 LBS,WHITE,POODLE MIN MIX,ANAHEIM,4/19/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571804
76,A1571917,F,5 Years,12.9 LBS,WHITE,POODLE MIN MIX,FULLERTON,4/20/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571917
77,A1571359,M,2 Years,13.4 LBS,BLACK TAN,PUG DACHSHUND,ANAHEIM,4/17/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571359
78,A1490547,M,3 Year,10.2 LBS,BLACK,RAT TERRIER MIX,SILVERADO,4/13/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1490547
79,A1570936,M,9 Years,27.0 LBS,RED WHITE,SHIBA INU,ANAHEIM,4/13/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1570936
80,A1570479,F,4 Years,12.0 LBS,BLACK WHITE,SHIH TZU,ANAHEIM,4/10/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1570479
81,A1569452,F,2 Years,49.6 LBS,BLACK WHITE,SIBERIAN HUSKY,ANAHEIM,4/4/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1569452
82,A1568134,N,4 Years,44.0 LBS,WHITE,SIBERIAN HUSKY,SANTA ANA,4/9/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1568134
83,A1565156,N,5 Years,57.0 LBS,BLACK WHITE,SIBERIAN HUSKY,ANAHEIM,3/3/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1565156
84,A1570699,M,2 Years,48.7 LBS,BLK/WHT GRAY,SIBERIAN HUSKY,ANAHEIM,4/11/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1570699
85,A1562494,N,4 Years,117.0 LBS,TRICOLOR,ST BERNARD RGH,FULLERTON,2/21/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1562494
