Pet_ID,Sex,Age,Weight,Color,Breed,Intake_Jurisdiction,Intake_Date
A1568806,F  ,4 Years  ,60.0 LBS  ,BLUE  ,PIT BULL  ,SANTA ANA  ,3/30/2018  
A1568998,M  ,2 Years  ,79.8 LBS  ,RED WHITE  ,PIT BULL  ,HUNTINGTON BCH  ,3/31/2018  
A1569280,F  ,2 Years  ,54.0 LBS  ,WHITE RED  ,PIT BULL  ,ANAHEIM  ,4/3/2018  
A1567327,M  ,1 Year 1 Month  ,69.0 LBS  ,TAN WHITE  ,PIT BULL MIX  ,ANAHEIM  ,3/21/2018  
A1569115,N  ,6 Years  ,71.0 LBS  ,TAN  ,PIT BULL MIX  ,TUSTIN  ,4/5/2018  
A1232105,N  ,8 Years  ,67.6 LBS  ,FAWN WHITE  ,PIT BULL MIX  ,ORANGE CO FCC  ,1/22/2018  
A1567053,F  ,2 Years  ,56.0 LBS  ,BR BRINDLE WHITE  ,PIT BULL MIX  ,ORANGE CO  ,3/19/2018  
A1569656,M  ,3 Years  ,83.0 LBS  ,WHITE GRAY  ,PIT BULL MIX  ,FULLERTON  ,4/5/2018  
A1569816,M  ,1 Year  ,52.3 LBS  ,BR BRINDLE WHITE  ,PIT BULL MIX  ,HUNTINGTON BCH  ,4/6/2018  
A1570379,S  ,10 Years  ,22.3 LBS  ,WHITE  ,POODLE MIN  ,ORANGE  ,4/10/2018  
A1568093,M  ,1 Year 1 Month  ,5.3 LBS  ,WHITE TAN  ,POODLE MIN MIX  ,TUSTIN  ,3/26/2018  
A1570268,M  ,4 Years  ,16.0 LBS  ,WHITE TAN  ,SCHNAUZER MIN MIX  ,ANAHEIM  ,4/9/2018  
A1570479,F  ,4 Years  ,0,BLACK WHITE  ,SHIH TZU  ,ANAHEIM  ,4/10/2018  
A1570488,F  ,2 Years  ,50.0 LBS  ,WHITE  ,SIBERIAN HUSKY  ,SANTA ANA  ,4/10/2018  
A1570267,N  ,5 Years  ,86.0 LBS  ,RED WHITE  ,SIBERIAN HUSKY  ,SANTA ANA  ,4/9/2018  
A1568134,N  ,4 Years  ,44.0 LBS  ,WHITE  ,SIBERIAN HUSKY  ,SANTA ANA  ,4/9/2018  
A1569452,F  ,2 Years  ,50.0 LBS  ,BLACK WHITE  ,SIBERIAN HUSKY  ,ANAHEIM  ,4/4/2018  
A1565156,N  ,5 Years  ,47.5 LBS  ,BLACK WHITE  ,SIBERIAN HUSKY  ,ANAHEIM  ,3/3/2018  
A1562494,N  ,4 Years  ,111.0 LBS  ,TRICOLOR  ,ST BERNARD RGH  ,FULLERTON  ,2/21/2018  
A1566722,N  ,1 Year 7 Months  ,17.0 LBS  ,WHITE  ,WEST HIGHLAND  ,ANAHEIM  ,3/15/2018  
A1570188,F  ,8 Years  ,13.0 LBS  ,BLACK TAN  ,YORKSHIRE TERR  ,SANTA ANA  ,4/8/2018  
A1570153,M  ,2 Months  ,5.0 LBS  ,BLACK TAN  ,YORKSHIRE TERR CHIHUAHUA SH  ,SANTA ANA  ,4/8/2018  
